7dd  = WiiLink WFC
816  = Impossibile connettersi alla Connessione\nWi-Fi WiiLink. Non ci sono dati di gioco salvati.\n\nPuoi organizzare la tua Memoria di Sistema Wii\nsulla Schermata di Organizzazione dei Dati\ndelle Opzioni Wii
fa8  = Non ci sono Amici registrati\nnella tua Lista degli Amici.\n\nRegistra Amici per giocare\nassieme su WiiLink WFC.\040
fb0  = Non puoi accedere alla\nConnessione Wi-Fi WiiLink\nusando questo Nome Mii.\nCambia il tuo Nome Mii e riprova.
1397  = Migliora la tua tecnica nelle prove a tempo\nsfidando dati fantasma di\ngiocatori da tutto il mondo in una \nserie di gare via WiiLink WFC!
1399  = Migliora la tua tecnica nelle prove a tempo\nsfidando dati fantasma di\ngiocatori da tutto il mondo in una \nserie di gare via WiiLink WFC!\n\nRecord attuale:\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = Non hai un Codice Amico.\n\nUn Codice Amico è un numero di 12 cifre che\nti è assegnato automaticamente durante\nla prima volta che ti connetti a WiiLink WFC.\n\nPer ulteriori informazioni, riferisciti al\nManuale di Istruzioni di Mario Kart Wii.
1d4d  = I Mii creati da altri giocatori possono\nessere visualizzati durante le corse\ne le battaglie, nei dati delle classifiche\ne in altri posti su WiiLink WFC.\n\nPuoi scegliere di mostrare questi Mii\ncosì come sono, oppure di rimpiazzarli\ncon dei Mii creati da Nintendo.
1fb0  = Hai vinto online 1000 volte!
1fbf  = Hai vinto online 5000 volte!
1fc1  = Hai vinto online 250 volte!
1fce  = Hai vinto online 50 volte!
1fe3  = Hai vinto online 3000 volte!
200b  = Record WiiLink WFC
201c  = Record Amici WiiLink WFC
26af  = I Controller non possono essere cambiati durante una gara\nWiiLink WFC. Ripristina il controller originale.
212c  = Hai ricevuto un'invito\ndi amicizia da\n%ls!\n\nMario Kart Wii\nCodice Amico: %04d-%04d-%04d\n\nRegistrando reciprocamente i vostri\nCodici Amico, potrete giocare insieme\na Mario Kart Wii tramite la\nConnessione Wi-Fi WiiLink.\nSe hai Mario Kart Wii e hai\ninstallato il Canale Mario Kart nel\ntuo Menù Wii, puoi selezionare\nil pulsante START sulla destra\nper confermare.\n\nBuon divertimento!


2800  = Prova a tempo (150cc)
2801  = Prova a tempo (200cc)
2803  = Salvataggio fantasmi disabilitato.
2804  = Salvataggio fantasmi disabilitato. Trucchi di Dolphin abilitati.
2810  = Ordine Piste: Normale
2811  = Ordine Piste: Alfabetico
2A00  = Impostazioni
2A01  = Corsa  
2A02  = Menù  
2A07  = Host (2/2)
2A04  = Host (1/2)
2A05  = VS (1/2)
2A06  = VS (2/2)
2A08  = 
2A20  = Cambia le tue impostazioni!
2A21  = Cambia le tue impostazioni della Corsa!
2A22  = Cambia le tue impostazioni del Menù!
2A27  = Cambia le tue impostazioni della Stanza!
2A24  = Cambia le tue impostazioni della Stanza!
2A26  = Configura le impostazioni del VS!
2A25  = Configura le impostazioni del VS!
2A28  = 
37000  = Abilitato
37001  = Disabilitato
30000  = Musica dell'Ultimo Giro
30001  = Accelera
30002  = Nessuna interruzione
30003  = Normale
40001  = La musica accelererà nel corso di 4s all'inizio l'ultimo giro.
40002  = La musica continuerà durante l'inizio dell'ultimo giro.
40003  = La musica cambierà in una variante veloce come di solito.
30010  = Gusci Blu trascinabili
40011  = Puoi tenere dietro Gusci Blu come per gli altri gusci.
40012  = Non potrai tenere dietro Gusci Blu come per gli altri gusci.
30020  = Teste dei Mii
40021  = I Mii dei giocatori saranno visualizzati sulla minimappa.
40022  = I personaggi dei giocatori verranno visualizzati sulla minimappa.
30030  = Tachimetro
30031  = Disabilitato
30032  = Nessun decimale
30033  = 1 decimale
30034  = 2 decimali
40031  = Il tachimetro sarà disabilitato.
40032  = Il tachimetro non visualizzerà nessun decimale.
40033  = Il tachimetro visualizzerà 1 decimale.
40034  = Il tachimetro visualizzerà 2 decimali.
30040  = Modalità FPS
30041  = Normale
30042  = Forza 30FPS
30043  = Forza 60FPS
40041  = Usa la modalità FPS di default.
40042  = Usa quando il gioco lagga.
40043  = Usa su sistemi migliori (solo Dolphin).
30050  = Salvataggio Fantasmi
40051  = Il Salvataggio Fantasmi sarà Abilitato.
40052  = Il Salvataggio Fantasmi sarà Disabilitato.
30110  = Menù veloci
40111  = Le transizioni dei menù saranno istantanee.
40112  = Le transizioni dei menù saranno normali.
30100  = Lingua
30120  = 
30121  = 
30122  = 
30300  = OpenHost
40301  = I giocatori che ti aggiungono potranno entrare nelle tue stanze.
40302  = Solo i giocatori con cui sei amico potranno entrare.
30310  = L'Host Vince Sempre il Voto
40311  = Conta solo il voto dell'host.
40312  = La pista verrà selezionata come di solito.
30320  = Abilita Teste dei Mii
40321  = I giocatori possono usare le impostazioni delle Teste dei Mii.
40322  = Le Teste dei Mii saranno forzatamente disabilitate.
30330  = Forza CC
30331  = Nessuno
30332  = 150cc
30333  = 200cc
30334  = Speculare (150cc)
30340  = Numero di Corse
30510  = Selezione della variante
40511  = I giocatori potranno votare per una specifica versione di una pista.
40512  = I giocatori non potranno votare per una specifica versione di una pista.
30520  = Nuvola Mega
40521  = La nuvola grigia renderà grande il giocatore.
40522  = La nuvola grigia rimpicciolirà il giocatore come al solito.
30530  = Tutti Gli Oggetti Possono Atterrare
40531  = Ogni tipo di oggetto può atterrare sul suolo.
40532  = Solo alcuni oggetti possono atterrare sul suolo.
30630  = 
30631  = 
30632  = 
30633  = 
40631  = 
40632  = 
40633  = 
30700  = 
30701  = 
30702  = 
30703  = 
40701  = 
40702  = 
40703  = 
30710  = 
30720  = 
30730  = 
30711  = 
30712  = 
30713  = 
2820  = Una corsa solitaria per il record più veloce! (200cc)
beb  = Una corsa solitaria per il record più veloce! (150cc)
2830  = Cambia Combo
2831  = Scegliere o Casuale?
2840  = Alcune modifiche richiedono un riavvio.
284C  = Sei sicuro di voler uscire?\n\nLasciare una gara in corso risulterà in una penalità di Punti Corsa.
2841  = I trucchi di Dolphin sono abilitati!\nIl gioco potrebbe non funzionare come previsto.
2842  = L'estensione della memoria di Dolphin è abilitata!\nIl gioco potrebbe non funzionare come previsto.
30500  = Selezione delle Piste
30501  = Tutte
30502  = Retrò
30503  = CTs
2806  = Aurora richiede Dolphin 5.0-17856 o più recente.\nScaricala dal sito ufficiale.\n\nRitorno al Menù Wii...
2843  = Sembra che tu stia usando la configurazione di default di Dolphin.\nImporta la tua NAND Wii per accedere a\ntutte le opzioni di Aurora.
2844  = Sebra che tu stia utilizzando una copia di una NAND pubblica.\nImporta la tua NAND Wii per accedere a\ntutte le opzioni di Aurora.
2845  = Verificando con il server...
2846  = C'è stato un errore durante la connessione con il server.\n\nCodice di Errore: \z{802,200000}\z{a02,1000000000}
2847  = C'è stato un errore durante la connessione con il server.\n\nCodice di Errore: \z{802,200000}\z{a02,1000000000}\nRitorno al Menù Wii...
2848  = È disponibile un nuovo aggiornamento! \z{802,200000}\nScarica la nuova versione dalla Wiiki!
2805  = Vuoi caricare i fantasmi\nsulla classifica?
2849  = Dati fantasma caricati con successo!
284A  = C'è stato un errore durante il caricamento del fantasma.\n\nCodice di Errore: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\nGiocatori Attivi
2802  = Tempo invalidato. Delta troppo grande.
30130  = Tema del Menù
30131  = Aurora
30132  = Arcobaleno
30133  = Bianco
1E40  = 
2807  = 
2808  = 
2809  = 
848  = 
2081A  = 
2081B  = 
20820  = 
20822  = 
20823  = 
20824  = 
20826  = 
20827  = 
